Ano;Centro de custo;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Temas prioritários;Categoria;Tipo;Carry over?;Possibilidade de corte ?;Conta como iniciativa ?;Valor voluntário VC;Valor incentivado/condicionante;Valor contrapartida/alavancado;Valor total;Cadastro GIS;ID GIS;1° monitoramento;3° Monitoramento;PROCX 
2025;4VP642;SE;São Paulo;Campinas;Concreto;Filial Campinas;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;3.000,00;0,00;0,00;3.000,00;ok;783,00;;;783,00
2025;4VP642;SE;São Paulo;Itu;Concreto;Filial Itu;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;ok;783,00;;;783,00
2025;4VP642;SE;São Paulo;Jundiaí;Concreto;Filial Jundiaí;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;ok;783,00;;;783,00
2025;4VP642;SE;São Paulo;São Paulo;Concreto;Filial Zona Norte;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;ok;783,00;;;783,00
2025;4VP642;CN;Goiás;Edealina;Cimentos;Unidade Edealina;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Não;Não;1;35.000,00;0,00;0,00;35.000,00;ok ;876;;;876,00
2025;4VP642;CN;Mato Grosso;Nobres;Cimentos;Unidade Nobres;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;local;Não;Não;1;120.000,00;0,00;0,00;120.000,00;ok ;877;;;877,00
2025;4VP642;CN;Tocantins;Xambioá;Cimentos;Unidade Xambioá;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Não;Não;1;50.000,00;0,00;0,00;50.000,00;ok ;878;;;878,00
2025;4VP642;SUL;Rio Grande do Sul;Pinheiro Machado;Cimentos;Unidade Pinheiro Machado;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;4.000,00;0,00;0,00;4.000,00;OK;879;;;879,00
2025;4VP642;SUL;Rio Grande do Sul;Esteio;Cimentos;Unidade Esteio;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;880;;;880,00
2025;4VP642;SUL;Santa Catarina;Capivari de Baixo;Cimentos;Unidade Capivari de Baixo;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;882;;;882,00
2025;4VP642;SUL;Santa Catarina;Itajaí;Cimentos;Unidade Itajaí;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;885;;;885,00
2025;4VP642;SUL;Santa Catarina;Vidal Ramos;Cimentos;Unidade Vidal Ramos;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.000,00;0,00;0,00;5.000,00;OK;886;;;886,00
2025;4VP642;SUL;Paraná;Rio Branco do Sul;Cimentos;Unidade Rio Branco do Sul;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;10.000,00;0,00;0,00;10.000,00;OK;887;;;887,00
2025;4VP642;SUL;Paraná;Itaperuçu;Cimentos;Unidade Rio Branco do Sul;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.000,00;0,00;0,00;5.000,00;OK;888;;;888,00
2025;4VP642;SUL;Paraná;Itaperuçu;Cimentos;Unidade Rio Branco do Sul;Valor VC - Geração CDRU;Valor VC;Inclusão produtiva;Conexão com negócio;Local;Sim;Não;1;60.000,00;0,00;0,00;60.000,00;OK;890;;;890,00
2025;4VP642;SUL;Paraná;Curitiba;Concreto;Filial Curitiba;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;OK;891;;;891,00
2025;4VP642;SUL;Rio Grande do Sul;Canoas;Concreto;Filial Canoas;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;891;;;891,00
2025;4VP642;SUL;Santa Catarina;Criciúma;Concreto;Filial Criciúma;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;891;;;891,00
2025;4VP642;SUL;Santa Catarina;Florianópolis;Concreto;Filial Florianópolis;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;891;;;891,00
2025;4VP642;SUL;Paraná;Londrina;Centro de Distribuição;CD Londrina;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;OK;892;;;892,00
2025;4VP642;SUL;Paraná;Maringá;Centro de Distribuição;CD Maringá;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;OK;892;;;892,00
2025;4VP642;SUL;Paraná;Quatro Barras;Centro de Distribuição;CD Quatro Barras;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;OK;892;;;892,00
2025;4VP642;SUL;Rio Grande do Sul;Passo Fundo;Centro de Distribuição;CD Passo Fundo;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;892;;;892,00
2025;4VP642;SUL;Paraná;Guarapuava;Centro de Distribuição;CD Guarapuava;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;OK;892;;;892,00
2025;4VP642;CN;Distrito Federal;Brasília;Cimentos;Unidade Sobradinho;Qualificação de mão de obra;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Sim;Não;1;80.000,00;0,00;0,00;80.000,00;ok ;893;;;893,00
;;;;;;Unidade Porto Velho ;Plano de Relacionamento_ Porto Velho ;;;;;;;;;;;0,00;ok ;894;;;894,00
