Ano;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Categoria;Tipo;Cadastro GIS;ID GIS
2025.0;SE;São Paulo;Cajamar;Argamassa;Unidade Cajamar;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;765
2025.0;SE;São Paulo;Itapecerica da Serra;Agregados;Unidade Itapecerica da Serra;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;766
2025.0;SE;São Paulo;Itapeva;Cales e insumos agrícolas;Unidade Itapeva;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;767
2025.0;SE;Minas Gerais;Itaú de Minas;Cimentos;Unidade Itaú de Minas;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;768
2025.0;SE;São Paulo;Limeira;Argamassa;Unidade Limeira;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;769
2025.0;SE;Rio de Janeiro;Cantagalo;Cimentos;Unidade Rio Negro;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;770
2025.0;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;771
2025.0;SE;Rio de Janeiro;Rio de Janeiro;Moagem;Unidade Santa Cruz;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;772
2025.0;SE;São Paulo;Votorantim;Cimentos;Unidade Santa Helena;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;773
2025.0;SE;São Paulo;Santa Isabel;Agregados;Unidade Santa Isabel;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;774
2025.0;SE;São Paulo;Itapecerica da Serra;Agregados;Unidade Itapecerica da Serra;Conselho Comunitário;Conselho Comunitário;Desenvolvimento local;Local;OK;776
2025.0;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;Conselho Comunitário;Conselho Comunitário;Desenvolvimento local;Local;OK;778
2025.0;SE;São Paulo;Votorantim;Cimentos;Unidade Santa Helena;Evoluir - Mulheres;Qualificação de mão de obra;Conexão com negócio;Local;OK;780
2025.0;SE;São Paulo;Bauru;Centro de Distribuição;CD Bauru;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;782
2025.0;SE;São Paulo;Embu das Artes;Centro de Distribuição;CD Embu;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;782
2025.0;SE;São Paulo;Osasco;Centro de Distribuição;CD Osasco;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;782
2025.0;SE;Rio de Janeiro;Rio de Janeiro;Centro de Distribuição;CD Rio;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;782
2025.0;SE;São Paulo;Campinas;Centro de Distribuição;CD Uberlândia;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;782
2025.0;SE;São Paulo;São Paulo;Concreto;Filial ABC;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;SE;São Paulo;Atibaia;Concreto;Filial Atibaia;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;SE;São Paulo;Campinas;Concreto;Filial Campinas;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;SE;São Paulo;Itu;Concreto;Filial Itu;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;SE;São Paulo;Jundiaí;Concreto;Filial Jundiaí;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;SE;São Paulo;São Paulo;Concreto;Filial Zona Norte;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;783
2025.0;CN;Goiás;Edealina;Cimentos;Unidade Edealina;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Conexão com negócio;Local;OK ;876
2025.0;CN;Mato Grosso;Nobres;Cimentos;Unidade Nobres;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Conexão com negócio;local;OK ;877
2025.0;CN;Tocantins;Xambioá;Cimentos;Unidade Xambioá;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Conexão com negócio;Local;OK ;878
2025.0;SUL;Rio Grande do Sul;Pinheiro Machado;Cimentos;Unidade Pinheiro Machado;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;879
2025.0;SUL;Rio Grande do Sul;Esteio;Cimentos;Unidade Esteio;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;880
2025.0;SUL;Santa Catarina;Capivari de Baixo;Cimentos;Unidade Capivari de Baixo;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;882
2025.0;SUL;Santa Catarina;Itajaí;Cimentos;Unidade Itajaí;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;885
2025.0;SUL;Santa Catarina;Vidal Ramos;Cimentos;Unidade Vidal Ramos;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;886
2025.0;SUL;Paraná;Rio Branco do Sul;Cimentos;Unidade Rio Branco do Sul;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;887
2025.0;SUL;Paraná;Itaperuçu;Cimentos;Unidade Rio Branco do Sul;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;888
2025.0;SUL;Paraná;Itaperuçu;Cimentos;Unidade Rio Branco do Sul;Valor VC - Geração CDRU;Valor VC;Conexão com negócio;Local;OK;890
2025.0;SUL;Paraná;Curitiba;Concreto;Filial Curitiba;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;891
2025.0;SUL;Rio Grande do Sul;Canoas;Concreto;Filial Canoas;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;891
2025.0;SUL;Santa Catarina;Criciúma;Concreto;Filial Criciúma;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;891
2025.0;SUL;Santa Catarina;Florianópolis;Concreto;Filial Florianópolis;Plano de Relacionamento com Comunidade - EGX;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;891
2025.0;SUL;Paraná;Londrina;Centro de Distribuição;CD Londrina;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;892
2025.0;SUL;Paraná;Maringá;Centro de Distribuição;CD Maringá;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;892
2025.0;SUL;Paraná;Quatro Barras;Centro de Distribuição;CD Quatro Barras;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;892
2025.0;SUL;Rio Grande do Sul;Passo Fundo;Centro de Distribuição;CD Passo Fundo;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;892
2025.0;SUL;Paraná;Guarapuava;Centro de Distribuição;CD Guarapuava;Plano de Relacionamento com Comunidade - CDs;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;892
2025.0;CN;Distrito Federal;Brasília;Cimentos;Unidade Sobradinho;Qualificação de mão de obra;Qualificação de mão de obra;Conexão com negócio;Local;OK ;893
;;;;;Unidade Porto Velho ;Plano de Relacionamento_ Porto Velho ;;;;OK ;894
