Nº Projeto;Nome Projeto;Unidade;Município;Nome do Indicador;Tipo de Agregacao;Meta100;Meta300;Meta500;RESULTADO CICLO;RESULTADO PREVISTO;META CICLO;Meta Ano 
729;Plano de Relacionamento com Comunidade - Edealina;Centro-Norte;Edealina;Número de voluntários;Último Valor;17;20;24;0;0;0;0
730;Plano de Relacionamento com Comunidad - Nobres;Centro-Norte;Nobres;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
730;Plano de Relacionamento com Comunidad - Nobres;Centro-Norte;Nobres;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
730;Plano de Relacionamento com Comunidad - Nobres;Centro-Norte;Nobres;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;0;493;0;500
730;Plano de Relacionamento com Comunidad - Nobres;Centro-Norte;Nobres;Número de voluntários;Último Valor;26;32;37;0;13;0;0
731;Conselho Comunitário;Centro-Norte;Brasília;% Plano de ação anual realizado;Último Valor;64;80;95;0;0;0;0
732;Plano de Relacionamento com Comunidade - Sobradinho;Centro-Norte;Brasília;% satisfação em pesquisa;Último Valor;64;80;95;0;98;0;500
732;Plano de Relacionamento com Comunidade - Sobradinho;Centro-Norte;Brasília;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;4;4;500;500
732;Plano de Relacionamento com Comunidade - Sobradinho;Centro-Norte;Brasília;Número de voluntários;Último Valor;34;41;47;32;32;0;0
732;Plano de Relacionamento com Comunidade - Sobradinho;Centro-Norte;Brasília;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;0;18;0;0
733;Cadeias Produtivas - Indígenas;Centro-Norte;Xambioá;% Plano de ação anual realizado;Último Valor;80;90;100;0;0;0;0
734;Conselho Comunitário;Centro-Norte;Xambioá;% Plano de ação anual realizado;Último Valor;64;80;95;0;0;0;0
735;Plano de Relacionamento com Comunidade - Xambioá;Centro-Norte;Xambioá;% satisfação em pesquisa;Último Valor;64;80;95;0;96;0;500
735;Plano de Relacionamento com Comunidade - Xambioá;Centro-Norte;Xambioá;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;3;3;500;500
735;Plano de Relacionamento com Comunidade - Xambioá;Centro-Norte;Xambioá;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;0;8;0;0
735;Plano de Relacionamento com Comunidade - Xambioá;Centro-Norte;Xambioá;Número de voluntários;Último Valor;18;22;26;25;25;450;450
736;Plano de Relacionamento com Comunidade - Manaus;Centro-Norte;Manaus;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
736;Plano de Relacionamento com Comunidade - Manaus;Centro-Norte;Manaus;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
736;Plano de Relacionamento com Comunidade - Manaus;Centro-Norte;Manaus;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;0;0;0
736;Plano de Relacionamento com Comunidade - Manaus;Centro-Norte;Manaus;Número de voluntários;Último Valor;4;5;5;0;0;0;0
763;Plano de Relacionamento - Araçariguama;Sudeste;Araçariguama;% satisfação em pesquisa;Último Valor;64;80;95;0;80;0;300
763;Plano de Relacionamento - Araçariguama;Sudeste;Araçariguama;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;1;2;100;300
763;Plano de Relacionamento - Araçariguama;Sudeste;Araçariguama;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;24;30;100;300
763;Plano de Relacionamento - Araçariguama;Sudeste;Araçariguama;Número de voluntários;Último Valor;6;8;9;5;11;0;500
764;Plano de Relacionamento - Barueri;Sudeste;Barueri;% satisfação em pesquisa;Último Valor;64;80;95;100;100;500;500
764;Plano de Relacionamento - Barueri;Sudeste;Barueri;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;1;2;100;300
764;Plano de Relacionamento - Barueri;Sudeste;Barueri;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;11;20;300;500
